Ax,Ay,Az,Gx,Gy,Gz,A3D,G3D,subject,label
6.474152344,-1.182777832,3.332847656,-12.81738281,54.19921875,-3.356933594,7.377091939,55.79524727,11,walking-natural
6.603443848,-0.478857422,3.227499023,1.708984375,58.16650391,-6.8359375,7.365563456,58.59174725,11,walking-natural
6.656118164,0.814057617,3.524390625,26.24511719,60.60791016,-8.056640625,7.575482037,66.53596327,11,walking-natural
6.842872559,2.083029785,3.821282227,48.70605469,58.89892578,-8.7890625,8.109631052,76.93250835,11,walking-natural
6.828506836,3.174824707,4.180425293,59.99755859,55.41992188,-9.094238281,8.613011852,82.18138444,11,walking-natural
6.751889648,3.883533691,4.664071289,60.24169922,49.98779297,-8.178710938,9.078733874,78.70662668,11,walking-natural
6.699215332,3.538756348,5.315317383,50.78125,44.49462891,-6.896972656,9.254992244,67.86807486,11,walking-natural
7.154129883,2.57625293,5.066311523,31.43310547,42.29736328,-4.821777344,9.137076447,52.91839564,11,walking-natural
7.604255859,1.575440918,4.285773926,2.868652344,43.45703125,-2.319335938,8.869869188,43.61332423,11,walking-natural
7.728758789,0.818846191,3.988882324,-18.12744141,48.64501953,1.525878906,8.735868801,51.93525165,11,walking-natural
7.723970215,0.229851563,3.730299316,-19.53125,52.12402344,7.019042969,8.580657353,56.10392598,11,walking-natural
7.84368457,0.038308594,3.28017334,-8.972167969,51.69677734,11.84082031,8.502022837,53.78904732,11,walking-natural
8.107056152,0.263371582,3.466927734,6.530761719,47.72949219,13.79394531,8.821185406,50.11016065,11,walking-natural
8.356062012,0.73744043,4.046345215,25.57373047,41.015625,11.77978516,9.313458022,49.74998013,11,walking-natural
9.055193848,1.273760742,4.884345703,41.87011719,33.38623047,8.7890625,10.36705527,54.26780554,11,walking-natural
9.443068359,1.65684668,5.506860352,50.53710938,26.42822266,5.187988281,11.05631909,57.26574543,11,walking-natural
9.888405762,2.126126953,5.540380371,52.30712891,19.71435547,2.136230469,11.53242381,55.93974461,11,walking-natural
10.30022314,2.772584473,5.363203125,49.01123047,13.54980469,0.671386719,11.9392533,50.85419038,11,walking-natural
10.49176611,3.15567041,5.363203125,43.27392578,9.460449219,0.366210938,12.1983343,44.29748145,11,walking-natural
10.79823486,3.466927734,5.02800293,36.31591797,8.728027344,0.549316406,12.40573567,37.35406414,11,walking-natural
10.74077197,3.672836426,5.047157227,27.52685547,10.43701172,0.732421875,12.42287028,29.44818207,11,walking-natural
10.19966309,3.184401855,4.664071289,14.70947266,14.03808594,1.525878906,11.65877795,20.39031018,11,walking-natural
9.692074219,2.370344238,4.137328125,-2.319335938,18.5546875,2.9296875,10.80149612,18.92719779,11,walking-natural
9.452645508,1.345589355,3.720722168,-17.76123047,24.23095703,3.479003906,10.24728702,30.2440747,11,walking-natural
9.289833984,0.73744043,3.093418945,-27.46582031,27.83203125,2.563476563,9.819066891,39.18628154,11,walking-natural
9.040828125,0.43097168,2.739064453,-32.47070313,31.00585938,0.9765625,9.456467832,44.90727726,11,walking-natural
8.743936523,0.258583008,2.355978516,-31.18896484,33.08105469,-0.671386719,9.059466092,45.4704131,11,walking-natural
8.451833496,0.225062988,2.317669922,-24.65820313,33.81347656,-1.46484375,8.766740367,41.87509935,11,walking-natural
8.322541992,0.502800293,2.298515625,-17.08984375,32.89794922,-1.831054688,8.648739066,37.11725452,11,walking-natural
8.202827637,0.747017578,2.159646973,-10.07080078,30.94482422,-1.098632813,8.515191809,32.56086867,11,walking-natural
8.006496094,0.823634766,2.226687012,-4.39453125,28.13720703,1.037597656,8.351077115,28.49720922,11,walking-natural
7.589890137,1.024754883,2.087818359,0.427246094,25.51269531,4.516601563,7.938232823,25.91292826,11,walking-natural
7.494118652,0.890674805,1.996835449,2.746582031,23.68164063,8.239746094,7.806565685,25.22413985,11,walking-natural
7.771855957,0.64645752,2.193166992,3.967285156,22.15576172,10.92529297,8.101211872,25.01957544,11,walking-natural
7.872416016,0.354354492,2.015989746,3.540039063,21.24023438,13.24462891,8.134169637,25.28041985,11,walking-natural
7.949033203,-0.047885742,1.647269531,0.48828125,22.15576172,16.47949219,8.118061272,27.61684013,11,walking-natural
7.929878906,-0.287314453,1.426995117,-5.065917969,22.88818359,18.85986328,8.062372115,30.08698915,11,walking-natural
8.279444824,-0.407028809,0.972080566,-9.826660156,22.94921875,19.65332031,8.346245843,31.77236048,11,walking-natural
9.040828125,-0.770960449,1.10137207,-12.57324219,23.49853516,19.59228516,9.140239255,33.07756356,11,walking-natural
9.869251465,-1.307280762,1.781349609,-14.40429688,22.27783203,18.79882813,10.11357078,32.51432772,11,walking-natural
11.43032666,-2.030355469,3.352001953,-17.94433594,16.47949219,15.74707031,12.08348575,29.00936191,11,walking-natural
13.0201333,-3.380733398,5.104620117,-23.4375,6.103515625,11.47460938,14.38785516,26.7999248,11,walking-natural
14.08798535,-4.673648438,5.933043457,-33.14208984,-8.178710938,6.713867188,15.98484675,34.79030676,11,walking-natural
14.49980273,-4.68801416,4.716745605,-46.69189453,-18.67675781,-1.037597656,15.95209846,50.29941258,11,walking-natural
15.1749917,-3.232287598,3.797339355,-45.47119141,-23.01025391,-11.29150391,15.97334788,52.19769241,11,walking-natural
15.05048877,-0.426183105,4.956174316,-1.220703125,-21.91162109,-18.85986328,15.85126203,28.93620048,11,walking-natural
13.90601953,3.538756348,6.086277832,75.43945313,-17.39501953,-16.29638672,15.58662739,79.11554849,11,walking-natural
11.68412109,7.642564453,5.827694824,131.2866211,-15.56396484,-5.554199219,15.12909462,132.3225718,11,walking-natural
9.907560059,9.77347998,5.588266113,146.9726563,-6.469726563,8.30078125,14.99697888,147.3489804,11,walking-natural
7.867627441,8.676896484,4.352813965,127.9296875,-3.967285156,13.48876953,12.4954025,128.7000047,11,walking-natural
6.967375488,5.344048828,2.810893066,62.68310547,-6.713867188,10.86425781,9.219777595,63.9709295,11,walking-natural
6.545980957,1.862755371,1.585018066,-24.84130859,-17.63916016,2.685546875,6.987990164,30.58500851,11,walking-natural
6.234723633,-1.206720703,0.91940625,-83.43505859,-19.04296875,-3.662109375,6.416639423,85.65894411,11,walking-natural
6.373592285,-3.634527832,0.933771973,-113.0371094,-16.11328125,-11.77978516,7.396242375,114.7858409,11,walking-natural
